source_row,print_name,company_name,type,lot,status,existing_ids,existing_names
36,Bruce Grey Catholic District School Board,Bruce Grey Catholic District School Board,Education,,Represented — normalized name or reviewed alias,f27fb7aa-fafb-49a2-932c-f31e9e4b5f25,Bruce Grey Catholic District School Board
37,Bruce Power,Bruce Power,,3B 07-12,Represented — normalized name or reviewed alias,97e57f2d-c4ec-52d9-91c5-d2872c1f677f,Bruce Power
38,"Bruce/Grey Owen Sound Constituency Association, Green Party of Ontario","Bruce/Grey Owen Sound Constituency Association, Green Party of Ontario",Rural Living 2,,Proven indoor candidate — representation decision pending for CarePartners,,
39,Buddsteel Architectural Products,Buddsteel Architectural Products  ,Rural Living 1,,Proven indoor candidate — representation decision pending for CarePartners,,
40,Canada Clean Fuels,Canada Clean Fuels Inc.,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
41,Canadian Agricultural Safety Association (CASA),Canadian Agricultural Safety Association (CASA),Education,,Unconfirmed physical grouping,,
42,Canadian Cattle Identification Agency,Canadian Cattle Identification Agency,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
43,Canadian Foodgrains Bank,Canadian Foodgrains Bank,Agriculture,,Represented — normalized name or reviewed alias,cae86ad1-4826-4a0a-b06c-3112e7a23706,Canadian Foodgrains Bank
44,Canadian Propane Association,Canadian Propane Association,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
45,Canadian Snowbird Association,Canadian Snowbird Association Inc.,Rural Living 2,,Represented — normalized name or reviewed alias,fe9ce824-1ba8-4bf7-998d-b236ffefd2aa,Canadian Snowbird Association
46,Canadian Union of Skilled Workers,Canadian Union of Skilled Workers Bruce Unit,Nuclear,,Unconfirmed physical grouping,,
47,Can-Am Demo Area,Can Am / BRP Inc,,West 4,Represented — normalized name or reviewed alias,2f34e37e-1880-5e22-b369-9372257143f7,"Can-Am Demo Area, Montreal, QC"
48,"Candu Energy Inc, an AtkinsRéalis company","Candu Energy Inc, an AtkinsRéalis company",Nuclear,,Unconfirmed physical grouping,,
49,CarePartners - Exploring Care Excellence In Rural Ontario,CarePartners,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
50,CarePartners - Exploring Healthcare Careers in Rural Ontario,CarePartners,Rural Living 2,,Proven indoor candidate — representation decision pending for CarePartners,,
51,CarePartners - Rural Health Care. Yours to Explore.,CarePartners,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
52,Cedarport Window and Door Centre Inc,Cedarport Window and Door Centre Inc,,2B 29,Represented — normalized name or reviewed alias,963dfdeb-c7e0-51a3-b502-12a9588d1ef7,Cedarport Window & Door Centre
53,Chalmers Fuels,Chalmers Fuels,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
54,Cheesy Monkii Food Truck,Cheesy Monkii Food Truck,Food,3A 04,Represented — normalized name or reviewed alias,60d08cd6-3d43-5e1b-a762-6ff00e889720,"Cheesy Monkii Food Truck, Kincardine"
55,Chepstow & District Lions Club,Chepstow & District Lions Club,Food,3A 17-18 **,Missing directory name with explicit lot — outside indoor-addition scope,,
56,Chris's Barbeque and Country Style Catering,Chris's Barbeque and Country Style Catering,Food,5A 23-24,Represented — normalized name or reviewed alias,0d60adb3-a62f-4fd3-a301-5cae288d05fe,Chris's Barbeque and Country Style Catering
57,Christadelphians: ASK,Christadelphians: Advancement of Scripture Knowledge,Rural Living 2,,Represented — normalized name or reviewed alias,5f2a4b8e-4a5c-45a0-928c-4ae43ead02df,Christadelphians: ASK
58,Christian Farmers Federation of Ontario,Christian Farmers Federation of Ontario,Agriculture,,Represented — normalized name or reviewed alias,8263f8cc-47cc-46bb-880e-4fd4e040a055,Christian Farmers Federation of Ontario
59,CIBC,CIBC,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
60,Circular Materials,Inventa Sales & Promotions - Circular Materials,Rural Living 1,,Proven indoor candidate — representation decision pending for CarePartners,,
61,"CKNX, The One, Cook 94.5",Blackburn Radio Inc. (CKNX),,3A 01-03,Represented — normalized name or reviewed alias,7272eea0-f3fd-5f78-87eb-16e7b5b3a94b,"CKNX, The One, Cook 94.5, Wingham"
62,Clifford Precision Inc.,Clifford Precision Inc.,,2A 13-15,Represented — normalized name or reviewed alias,c52964ff-5574-53fd-ab93-8e80e42760a5,"Clifford Precision Inc., Clifford"
63,CMHA Grey Bruce,Canadian Mental Health Association (CMHA) Grey Bruce,Rural Living 2,,Represented — normalized name or reviewed alias,92ced957-30d0-44bd-948c-268b1a5b68a2,CMHA Grey Bruce
64,Coastal Coffee,Coastal Coffee,Food,2A 11,Represented — normalized name or reviewed alias,d5be6e41-6954-52c8-957d-1a7fc0eb088b,"Coastal Coffee, Goderich"
65,"Coops, Crappers & Cabins","Coops, Crappers & Cabins",,2A 34-35,Represented — normalized name or reviewed alias,92a43a21-957e-527e-afb9-e53835ca4cea,"Coops, Crappers & Cabins, Cambridge"
66,Core Fuels Ltd. / Red Cap Propane Ltd.,Core Fuels Ltd. / Red Cap Propane Ltd.,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
67,Costco Wholesale,Costco Wholesale Guelph,,4A 32,Represented — normalized name or reviewed alias,9a268e45-492c-5022-967c-ba050427caee,"Costco Wholesale, Guelph"
68,Cottrill Heavy Equipment,Cottrill Heavy Equipment,,2A 05,Represented — normalized name or reviewed alias,f8e07856-2d6a-4643-8df4-4c0a11806c74,"Cottrill Heavy Equipment, Kincardine"
69,Crop Aid Nutrition,Crop Aid Nutrition,,2A 07,Represented — normalized name or reviewed alias,942731e1-eb46-4357-b4c5-1c7d48dfce92,"Crop Aid Nutrition, Saskatoon, SK"
70,Croskill Overhead Doors,Croskill Overhead Doors Ltd,Rural Living 1,,Proven indoor candidate — representation decision pending for CarePartners,,
71,CSN Auto Reset Group,CSN Auto Reset Group,,4B 02 - N,Represented — normalized name or reviewed alias,cbc1c263-8e96-508b-9aa2-e6b9508b43b8,CSN Auto Reset Group
72,Culligan,Culligan Water,,3B 01-02,Represented — normalized name or reviewed alias,4dd3723c-6622-561c-84c7-efb5cbd97b33,"Culligan, Cambridge"
73,Cuneo Interiors Limited,Cuneo Interiors Limited,,2A 30,Represented — normalized name or reviewed alias,f4c1eece-0a1f-4f0c-9b74-4feb3b12078c,"Cuneo Interiors Limited, Walkerton"
74,Dairy Farmers of Ontario,Dairy Farmers of Ontario,Food,3A 13,Represented — normalized name or reviewed alias,515f1b29-b256-57de-aad6-d08ffc94c1ff | 6c4a5c1a-cabc-4def-b4f3-f0410c02c88d | 8cc1d9e1-08c7-4c22-9aab-62a26964020d | 90fe44dc-91e1-4ccc-a755-728cba56d8c1,Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario
75,Dairy Farmers of Ontario,Dairy Farmers of Ontario,Education,,Represented — normalized name or reviewed alias,515f1b29-b256-57de-aad6-d08ffc94c1ff | 6c4a5c1a-cabc-4def-b4f3-f0410c02c88d | 8cc1d9e1-08c7-4c22-9aab-62a26964020d | 90fe44dc-91e1-4ccc-a755-728cba56d8c1,Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario
76,Dairy Farmers of Ontario,Dairy Farmers of Ontario,,3A 14-16,Represented — normalized name or reviewed alias,515f1b29-b256-57de-aad6-d08ffc94c1ff | 6c4a5c1a-cabc-4def-b4f3-f0410c02c88d | 8cc1d9e1-08c7-4c22-9aab-62a26964020d | 90fe44dc-91e1-4ccc-a755-728cba56d8c1,Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario | Dairy Farmers of Ontario
77,DC Foods,DC Foods,Food,1B 38,Represented — normalized name or reviewed alias,a212980e-ffe2-5aa2-acdc-0ea2884b2443,"DC Foods, Tillsonburg"
78,DC Foods,DC Foods,Food,4B 12,Represented — normalized name or reviewed alias,a212980e-ffe2-5aa2-acdc-0ea2884b2443,"DC Foods, Tillsonburg"
79,De Dell Seeds Inc.,De Dell Seeds Inc.,,2B 19-20,Represented — normalized name or reviewed alias,a513ffe9-7e0e-5ca7-be44-c827de0520b2,"DeDell Seeds Inc., Melbourne"
80,DGFO - Dairy Goat Farmers of Ontario,Ontario Dairy Goat Co-operative / Gay Lea Foods / Dairy Goat Farmers of Ontario,Education,,Unconfirmed physical grouping,,
81,Diamond Roof,Diamond Roof,,4B 30,Represented — normalized name or reviewed alias,d85f5e59-a290-5a49-a671-3cfbf99d45ae,"Diamond Roof, Wingham"
82,Dill Doughs,Dill Doughs,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
83,DJ's Handcrafted Solid Wood Furniture Inc.,DJ's Handcrafted Solid Wood Furniture Inc.,,4A 29-30,Represented — normalized name or reviewed alias,4e094197-8317-42de-9fab-0fbfb2ec0d53,DJ's Handcrafted Solid Wood
84,Doc MacCheesey,Doc MacCheesey,Food,2A 37,Missing directory name with explicit lot — outside indoor-addition scope,,
85,Dodge RAM,Dodge RAM,,5A 01-04,Represented — normalized name or reviewed alias,5041c4ee-0da8-5174-b73c-2451f95aa2ac,DODGE DEALERS
86,Drone Spray Canada,Drone Spray Canada,,1A 06 ,Represented — normalized name or reviewed alias,75a73bde-0381-53ae-a0b1-ce59d2b2f407,"Drone Spray Canada, Granton, Blenheim"
87,Eastern Ontario Wardens’ Caucus,Eastern Ontario Wardens’ Caucus ,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
88,Eastern Silk Road,Eastern Silk Road,,4B 04 - N,Represented — normalized name or reviewed alias,4ca16511-186c-5a9b-b737-49f74ae85cad,"Eastern Silk Road, Kitchener"
89,Eastlink,Eastlink,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
90,Ecoflo - Septic Solutions,Premier Tech Water and Environment Ltd,,2A 28,Represented — normalized name or reviewed alias,ab05b77c-425e-5c91-88b9-6e935972b015,Premier Tech Water & Environment
91,Egg Farmers of Ontario,Egg Farmers of Ontario,Education,,Represented — normalized name or reviewed alias,03ff43f0-ece8-4f67-a3c5-3dfd9a21cf2f,Egg Farmers of Ontario
92,Electrical Safety Authority,Electrical Safety Authority (ESA) - Northern Region,Rural Living 1,,Represented — normalized name or reviewed alias,fac9b1e9-54db-41cb-976f-eb4f6f2f8f16,Electrical Safety Authority
93,Elevated Workplace Safety,Elevated Workplace Safety,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
94,Elite Sprouting Systems Inc.,Elite Sprouting Systems Inc.,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
95,ENJO Canada,ENJO Canada,Rural Living 1,,Represented — normalized name or reviewed alias,64319171-ef84-58ee-b1f9-00189522f700,ENJO Chemical Free Cleaning System
96,Equestrian Elite,Equestrian Elite,Artisan,,Represented — normalized name or reviewed alias,f610134f-3c59-4bdf-98a9-39da2f155769,"Equestrian Elite, Durham"
97,Equipment Ontario,Equipment Ontario - Mildmay,,1A 10-12,Represented — normalized name or reviewed alias,2a10f4a1-5e13-5940-8bd6-a057d52621c6,"Equipment Ontario, Mildmay"
98,ETFO Bluewater Local,ETFO Bluewater Local,Education,,Represented — normalized name or reviewed alias,48108aac-d4c7-49e9-9c85-8a0a33e315b7,ETFO Bluewater Local
99,Evelyn Piper Exclusive,Evelyn Piper Exclusive,,4A 12,Represented — normalized name or reviewed alias,26048e22-0c9e-5b19-b789-cdbc0e6f7d75,"Evelyn Piper Exclusive, Ajax"
100,Express Heat Therapy,Express Heat Therapy,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
101,Farm Sip Supreme Canada,Farm Sip Supreme Canada,,1A 17,Represented — normalized name or reviewed alias,308fff09-c626-5ed7-bad4-217c5be5eabb,"Farm Sip Supreme Canada, Mount Forest"
102,Farmers Choice Real Estate,Royal Le Page RCR Realty,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
103,Fellowship of Christian Farmers Canada,Fellowship of Christian Farmers - Canada,,2A 17-18,Represented — normalized name or reviewed alias,15691f8e-2ecb-4904-8b4f-3ab4ec8f10c5,Fellowship of Christian Farmers
104,Ferntree Equipment & Distribution,Ferntree Equipment & Distribution,,5A 34,Represented — normalized name or reviewed alias,e6d29634-64c4-4255-816b-3f20f1d8f88b,"Ferntree Equipment & Distribution, Guelph"
105,FIRST Robotics Canada,FIRST Robotics Canada,Education,,Unconfirmed physical grouping,,
106,Flora and Fae,Flora and Fae,Artisan,,Represented — normalized name or reviewed alias,e173b0f8-0a76-4bc9-9eef-b610dbbfaad8,"Flora and Fae, Tara"
107,Florence Leather,Florence Leather,,4B 15 - N,Represented — normalized name or reviewed alias,50bfa217-fb8e-5691-b5e4-a0993415dc21,Florence Leather
108,Fort44 Inc.,Fort44 Inc.,Agriculture,,Represented — normalized name or reviewed alias,bcc0b099-1270-4436-8222-560ab866fea2,Fort44 Inc.
109,Foxton Fuels Limited,Foxton Fuels Limited,,2B 10-12,Represented — normalized name or reviewed alias,d95b8f18-c931-524f-8209-a6711daf3236,"Foxton Fuels Limited, Wingham"
110,Freiburger Welding,Freiburger Welding,Rural Living 1,,Represented — normalized name or reviewed alias,9b876531-d38c-4955-af9f-0550c9446f61,Freiburger Welding
111,Fruitage of the Field,Fruitage of the Field,,4B 24,Missing directory name with explicit lot — outside indoor-addition scope,,
112,Galaxy Sweets,Galaxy Sweets,Commercial,,Represented — normalized name or reviewed alias,dd656a11-03d9-451b-bd7a-c05b12320448,Galaxy Sweets
113,Gay Lea Foods Co-operative Ltd.,Gay Lea Foods Co-operative Ltd.,,2B 03-04,Represented — normalized name or reviewed alias,a600c3a6-941e-4588-bd5c-c0ad2d40c058,Gay Lea Foods Co-operative Ltd
114,Georgian Bay Funeral Services Association (GBFSA),Georgian Bay Funeral Services Association (GBFSA),,4B 05,Represented — normalized name or reviewed alias,88994284-29ae-4366-a784-6e69493b5dab,Georgian Bay Funeral Services Association (GBFSA)
115,Gerry's Truck Centre Ltd.,Gerry's Truck Centre Ltd.,,4A 04,Represented — normalized name or reviewed alias,36040d1d-23a4-51f8-9b32-6c68d325e4b6,Gerry's Truck Centre
116,GGS Structures Inc.,GGS Structures Inc,,2B 23,Represented — normalized name or reviewed alias,980d4d7b-b391-5382-a3ea-d2d70f692a52,"GGS Structures Inc., Vineland Station"
117,Goderich Port Management Corporation,Goderich Port Management Corporation,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
118,Gospel Focus,Gospel Focus,,4A 33-34,Represented — normalized name or reviewed alias,0218c51e-8b47-44df-9c1a-a9831da530d2,"Gospel Focus, Kirkfield"
119,Grain Farmers of Ontario,Grain Farmers of Ontario ,Education,,Unconfirmed physical grouping,,
120,Green Valley Heating Inc.,Green Valley Heating Inc.,,4B 28,Represented — normalized name or reviewed alias,5fa56f5a-3345-4710-ac74-a360d65b1c81,"Green Valley Heating Inc., Granton"
121,Gregglea Clydesdales,Gregglea Clydesdales,Education,,Unconfirmed physical grouping,,
122,Grey Ag Services,Grey Ag Services,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
123,Grey Bruce Ontario Health Team,Grey Bruce Ontario Health Team,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
124,Grey Bruce Pork Producers,Grey Bruce Pork Producers,Education,,Unconfirmed physical grouping,,
125,Grey Bruce Public Health,Grey Bruce Public Health,Rural Living 2,,Represented — normalized name or reviewed alias,d68df8ab-824a-4993-80b8-3a46d73669d2,Grey Bruce Public Health
126,Grey County,Grey County,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
127,Guelph Solar,Guelph Solar Mechanical Inc,Agriculture,,Represented — normalized name or reviewed alias,72281fef-9af2-40e7-9132-2bcfe55ca87d,Guelph Solar
128,Hallman Motors Ltd,Hallman Motors Ltd,,5A 25-26,Represented — normalized name or reviewed alias,b05a7b54-4daa-4e05-a0c3-3eb88c6f9f3c,"Hallman Motors Ltd., Hanover"
129,Hanover Chrysler Dodge Jeep Ram Limited,Hanover Chrysler Dodge Jeep Ram Limited,,5A 01-04,Possible truncated existing identity — do not duplicate,,
130,Hanover Honda & Hanover Volkswagen,Hanover Honda & Hanover Volkswagen,,5A 29-31,Possible truncated existing identity — do not duplicate,,
131,Harkness Equipment,Harkness Equipment,,1B 15,Represented — normalized name or reviewed alias,aeb7774d-1e29-4018-8ad1-a6270fafe8c0,"Harkness Equipment, Harriston"
132,Harry Buurma - free bibles,Harry Buurma,Rural Living 2,,Proven indoor candidate — representation decision pending for CarePartners,,
133,HDTV & Electronics,HDTV & Electronics,Rural Living 2,,Proven indoor candidate — representation decision pending for CarePartners,,
134,Hear Canada,Hear Canada,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
135,HearingLife Canada,HearingLife Canada,Commercial,,Represented — normalized name or reviewed alias,db8358ab-6aca-4cc1-9500-c20ae81c4c9c,HearingLife Canada
136,Heatmaster (Highway 511 Heating),Heatmaster SS (Highway 511 Heating Solutions Inc),,2A 25-27,Represented — normalized name or reviewed alias,5c20ae03-5c55-5f07-8a69-7bc68e025a76,"Heatmaster (Highway 511 Heating), Perth"
137,Heavenly Dreams Ice Cream Inc.,Heavenly Dreams Ice Cream Inc.,Food,4A 37,Represented — normalized name or reviewed alias,98c794d2-c2c6-5537-bd4c-5316f1a9b465,Heavenly Dreams Ice Cream Inc
138,Heavy Equipment Care Ltd.,Heavy Equipment Care Ltd.,,1A 32-34,Represented — normalized name or reviewed alias,1a5fd8ed-ba9f-5306-99b7-c566e77b7174,"Heavy Equipment Care Ltd.,Durham"
139,Highland Outbuildings,Highland Outbuildings,,4A 28,Represented — normalized name or reviewed alias,38dd8b37-f53d-5a49-b97a-ca04b49f4256,"Highland Outbuildings, Angus"
140,Hip Town Hype,Hip Town Hype,,4A 14,Represented — normalized name or reviewed alias,6f2f724d-4858-5066-ad41-41e8398923da,"Hip Town Hype, Trent Lakes"
141,HLR Hydraulic Line Repair,HLR Hydraulic Line Repair,,1B 28,Represented — normalized name or reviewed alias,6f0f3ab1-04f9-540d-b72a-2535b2fe59bc,"HLR Hydraulic Line Repair, Orangeville"
142,Hometown Street Eats,Hometown Street Eats,Food,Lounge,Represented — normalized name or reviewed alias,a7971766-a77f-5ce5-9ce4-2f29808a1849,"Hometown Street Eats, Drayton"
143,Huron County,County of Huron,Rural Living 2,,Represented — normalized name or reviewed alias,464f0a56-2cfb-42ba-9d27-59324d17ec16,Huron County
144,Huron Tractor Ltd.,Huron Tractor Ltd.,,1A 25-27,Represented — normalized name or reviewed alias,01ed2846-d1d8-5c9e-a365-637c839b3f7d,"Huron Tractor Ltd., Walkerton"
145,Huron-Bruce Provincial Liberal Association,Huron-Bruce Provincial Liberal Association,,3A 06 -N,Represented — normalized name or reviewed alias,bdb80694-dc56-54c3-a75d-e087aa2fe2cc,Huron-Bruce Provincial Liberal Association
146,Huronia Welding,Huronia Welding - Med-E-Ox Mobility,,1A 29,Represented — normalized name or reviewed alias,b502c8eb-8115-555e-b00d-830e5606c36c,Huronia Welding
147,Hydro One,Hydro One,,East 5,Represented — normalized name or reviewed alias,5ad9b389-f533-5b1f-8458-95c3e18134ed,Hydro One
148,iLGi Canada,Bambrook Farm Equipment Inc.,,1A 05,Represented — normalized name or reviewed alias,4f2e7b8c-17aa-5780-b8f9-3139d37341f6 | 2b4480b3-5c43-428a-9e72-fd537d75e31e,Bambrook Farm Equipment | iLGi Canada
149,Iron-Haven Structures,Iron-Haven Structures,,1B 35**,Missing directory name with explicit lot — outside indoor-addition scope,,
150,It's About You by Christine Lennips,It's About You,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
151,J&H Sales and Service,J&H Sales and Service,,1A 13-15,Represented — normalized name or reviewed alias,ed5c65db-fabc-5e09-bac2-abe5d715abe4,"J&H Sales and Service, Chesley"
152,J.A. Porter Holdings (Lucknow) Ltd.,J.A. Porter Holdings (Lucknow) Ltd.,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
153,Jeff's Catering,Jeffs Catering,Food,4A 38,Represented — normalized name or reviewed alias,da60dc40-1348-4a28-bba4-d72f96e9e258,"Jeff’s Catering, Uxbridge"
154,Joe Carter - Group Benefits Specialist,Joe Carter - Group Benefits Specialist,Commercial,,Represented — normalized name or reviewed alias,b16de7a5-f57f-4789-bf01-735f6831ac80,Joe Carter - Group Benefits Specialist
155,John Ernewein Limited,John Ernewein Limited,,1B 29,Represented — normalized name or reviewed alias,48df3f37-4bb4-46fc-b218-20722b7e5cb8,"John Ernewein Limited, Walkerton"
156,JSC Factory Direct Inc.,JSC Factory Direct Inc.,,4B 13,Represented — normalized name or reviewed alias,795f3984-0b5b-4325-9142-e4d3a3901118,"JSC Factory Direct Inc., Barrie"
157,JW Custom Fab,JW Custom Fab,,5A 21 ,Represented — normalized name or reviewed alias,319f7c2d-22e3-4945-8c4d-caa3d9ad7ff4,"JW Custom Fab, Cargill"
158,K and S Boat and Sled,Kreations Candy and Treats / K and S Boat and Sled,,4B 34,Represented — normalized name or reviewed alias,5e1c39f7-d7c4-4bc7-9353-1b426bbbd4fd,K and S Boat and Sled
159,Kenworth / TRP Hanover,Kenworth Truck Centres,,4A 01-03,Represented — normalized name or reviewed alias,980273b0-4ce6-4e72-9c33-53d00733a54f,"Kenworth / TRP Hanover, Hanover"
160,Kincardine & Community Health Care Foundation,Kincardine & Community Health Care Foundation,Rural Living 2,,Proven indoor candidate — representation decision pending for CarePartners,,
161,Kinectrics Inc.,Kinectrics Inc.,Nuclear,,Unconfirmed physical grouping,,
162,Kodiak Boots,Workwear Outfitters (Kodiak) ,,2B 06,Represented — normalized name or reviewed alias,f1af824a-d4c0-5d98-b23f-847446d4f5fd,"Kodiak Boots, Cambridge"
