Name,Type,Location,Hours of Operation,Days of Operation,priority,Description
Tiny Tractor Toys,Kids,Midway Kiosk K-04,10:00 AM - 8:00 PM,Thursday - Sunday,60,Toy tractors farm animals and collectible play sets
Patchwork Petting Farm,Livestock,Livestock Lane L-01,9:00 AM - 6:00 PM,Thursday - Sunday,61,Supervised small animal visits and family photos
Happy Hen Education,Livestock,Livestock Lane L-02,9:00 AM - 5:00 PM,Thursday - Sunday,62,Chicken care displays egg education and breed information
Alpaca Acres,Livestock,Livestock Lane L-03,10:00 AM - 6:00 PM,Thursday - Sunday,63,Alpaca fibre products and animal meet and greet
Goat Meadow Creamery,Livestock,Livestock Lane L-04,10:00 AM - 5:00 PM,Friday - Sunday,64,Goat milk soap cheese samples and farm tours
Stable Lane Tack Shop,Equestrian,Livestock Lane L-05,9:00 AM - 6:00 PM,Thursday - Sunday,65,Halters brushes lead ropes and riding accessories
Blue Ribbon Feed Supply,Livestock,Livestock Lane L-06,8:30 AM - 6:00 PM,Thursday - Sunday,66,Feed supplements bedding and animal care supplies
Heritage Loom Guild,Heritage,Heritage Hall H-01,9:00 AM - 5:00 PM,Thursday - Sunday,67,Weaving demonstrations textiles and guild memberships
Pioneer Tool Restorers,Heritage,Heritage Hall H-02,9:00 AM - 5:00 PM,Thursday - Sunday,68,Restored hand tools sharpening and preservation advice
Old Mill Print Shop,Heritage,Heritage Hall H-03,10:00 AM - 5:00 PM,Friday - Sunday,69,Letterpress prints cards and historic printing demos
County Genealogy Society,Heritage,Heritage Hall H-04,10:00 AM - 5:00 PM,Thursday - Sunday,70,Family history research help and archive resources
The Seed Library,Heritage,Heritage Hall H-05,9:00 AM - 5:00 PM,Thursday - Sunday,71,Heirloom seeds seed saving and garden history resources
Fairwear Outfitters,Retail,Market Lane M-11,9:00 AM - 8:00 PM,Thursday - Sunday,72,Event apparel hats rain ponchos and tote bags
Country Stitch Boutique,Retail,Market Lane M-12,10:00 AM - 7:00 PM,Thursday - Sunday,73,Women's apparel scarves and handmade accessories
Trailhead Boots,Retail,Market Lane M-13,9:00 AM - 7:00 PM,Thursday - Sunday,74,Work boots rubber boots socks and care products
Barn Cat Books,Retail,Market Lane M-14,10:00 AM - 6:00 PM,Thursday - Sunday,75,Children's books rural history and local authors
Northwind Garden Supply,Home,Market Lane M-15,9:00 AM - 6:00 PM,Thursday - Sunday,76,Garden tools seeds planters and soil amendments
Porchlight Decor,Home,Market Lane M-16,10:00 AM - 7:00 PM,Friday - Sunday,77,Farmhouse decor wreaths signs and seasonal accents
Meadow Lane Flowers,Home,Market Lane M-17,9:00 AM - 6:00 PM,Thursday - Sunday,78,Cut flowers bouquets dried arrangements and bulbs
Harvest County Radio,Media,Community Row C-11,9:00 AM - 6:00 PM,Thursday - Sunday,79,Live fair coverage interviews contests and listener signup
Fair First Aid Station,Services,South Gate Services S-01,8:00 AM - 9:00 PM,Thursday - Sunday,80,On site first aid support visitor assistance and lost child help
