Name,Start Date,Event Start,Event End,Category,Days_Active,Description,Location,Lat,Long
Butter Tart Competition,2026-09-18,10:00 AM,11:15 AM,Competition,Friday,Judges sample classic and creative butter tart entries,Harvest Hall,43.8128,-80.4233
Mounted Games Warm Up,2026-09-18,10:30 AM,11:30 AM,Equestrian,Friday,Riders demonstrate speed patterns and safe arena conduct,Riverside Arena,43.8141,-80.4195
Kids Seed Planting Lab,2026-09-18,11:00 AM,12:00 PM,Kids,Friday,Children plant seeds to take home and learn basic plant care,Kids Discovery Tent,43.8118,-80.4216
Combine Technology Demo,2026-09-18,11:30 AM,12:30 PM,Equipment,Friday,Dealers explain harvest monitors yield mapping and safety,Machinery Field,43.8142,-80.4245
County Fiddle Finals,2026-09-18,12:00 PM,1:30 PM,Entertainment,Friday,Fiddlers compete for the county fair championship,Main Stage,43.8123,-80.4207
Goat Agility Showcase,2026-09-18,12:45 PM,1:30 PM,Livestock,Friday,Handlers guide goats through a fun obstacle course,4-H Show Ring,43.8139,-80.4218
Farm to School Cooking Demo,2026-09-18,1:00 PM,2:00 PM,Food,Friday,Chefs prepare simple recipes using local school garden produce,Demo Kitchen,43.8126,-80.4230
Women in Agriculture Panel,2026-09-18,1:30 PM,2:30 PM,Education,Friday,Local leaders discuss careers mentorship and farm ownership,Community Pavilion,43.8125,-80.4221
Miniature Horse Driving,2026-09-18,2:00 PM,3:00 PM,Equestrian,Friday,Drivers showcase miniature horse carts and handling skills,Riverside Arena,43.8141,-80.4195
Market Basket Auction,2026-09-18,3:00 PM,4:00 PM,Market,Friday,Baskets of local food and crafts are auctioned for charity,Market Lane,43.8120,-80.4226
Youth 4-H Recognition,2026-09-18,4:30 PM,5:15 PM,Ceremony,Friday,Clubs recognize project completion leadership and service,Main Stage,43.8123,-80.4207
Friday Night Country Concert,2026-09-18,7:00 PM,9:00 PM,Entertainment,Friday,Headline country band closes the second day of the fair,Grandstand Stage,43.8130,-80.4204
Sunrise Livestock Feeding Tour,2026-09-19,7:30 AM,8:30 AM,Livestock,Saturday,Visitors see morning feeding routines with barn volunteers,Livestock Pavilion,43.8136,-80.4210
Classic Car and Tractor Roll In,2026-09-19,8:30 AM,10:00 AM,Exhibit,Saturday,Restored cars and tractors arrive for display judging,South Gate Plaza,43.8121,-80.4215
County Honey Judging,2026-09-19,9:00 AM,10:15 AM,Competition,Saturday,Beekeepers submit honey entries for clarity aroma and flavour,Harvest Hall,43.8128,-80.4233
Kids Pedal Tractor Pull,2026-09-19,9:30 AM,10:30 AM,Kids,Saturday,Children compete in age classes on pedal tractors,Kids Discovery Tent,43.8118,-80.4216
Beef Cattle Championship,2026-09-19,10:00 AM,11:30 AM,Livestock,Saturday,Top beef entries compete for grand champion honours,Grandstand Ring,43.8130,-80.4204
Blacksmithing Demonstration,2026-09-19,10:15 AM,11:15 AM,Heritage,Saturday,Smiths forge practical hooks and explain traditional tools,Heritage Barn,43.8133,-80.4238
Corn Roast and Local Food Talk,2026-09-19,11:30 AM,12:30 PM,Food,Saturday,Guests sample roasted corn while growers discuss season quality,Community Pavilion,43.8125,-80.4221
Pioneer Chore Relay,2026-09-19,12:00 PM,1:00 PM,Heritage,Saturday,Teams race through butter churning water carrying and stacking,Heritage Barn Yard,43.8134,-80.4240
Heavy Horse Pull,2026-09-19,12:30 PM,2:00 PM,Competition,Saturday,Heavy horse teams compete by pulling weighted sleds,Grandstand Track,43.8131,-80.4202
Food Truck Chef Challenge,2026-09-19,1:00 PM,2:15 PM,Food,Saturday,Food truck chefs create dishes with mystery local ingredients,Demo Kitchen,43.8126,-80.4230
Drone Use on the Farm,2026-09-19,1:30 PM,2:30 PM,Technology,Saturday,Operators demonstrate mapping scouting and safe flight planning,Machinery Field,43.8142,-80.4245
All Breeds Dairy Show,2026-09-19,2:00 PM,3:30 PM,Livestock,Saturday,Dairy exhibitors compete across breed classes and ages,4-H Show Ring,43.8139,-80.4218
Pumpkin Decorating for Kids,2026-09-19,2:30 PM,3:30 PM,Kids,Saturday,Children decorate small pumpkins with fair volunteers,Kids Discovery Tent,43.8118,-80.4216
Local Brewers Tasting Seminar,2026-09-19,3:00 PM,4:00 PM,Food,Saturday,Brewers explain grain sourcing flavour and responsible tasting,Harvest Hall,43.8128,-80.4233
Saturday Grandstand Rodeo,2026-09-19,6:30 PM,8:30 PM,Entertainment,Saturday,Rodeo athletes compete in timed events and riding classes,Grandstand Arena,43.8130,-80.4204
Community Church Breakfast,2026-09-20,8:00 AM,9:00 AM,Food,Sunday,Volunteer groups host a simple breakfast before Sunday events,Community Pavilion,43.8125,-80.4221
Open Air Worship Service,2026-09-20,9:15 AM,10:00 AM,Community,Sunday,Interdenominational service with local musicians and speakers,Main Stage,43.8123,-80.4207
Rabbit Showmanship,2026-09-20,9:30 AM,10:30 AM,Livestock,Sunday,Youth handlers present rabbits and answer judge questions,Livestock Pavilion,43.8136,-80.4210
Garden Tractor Pull Finals,2026-09-20,10:00 AM,11:30 AM,Competition,Sunday,Garden tractor finalists compete for class trophies,Grandstand Track,43.8131,-80.4202
Floral Arrangement Awards,2026-09-20,10:30 AM,11:15 AM,Competition,Sunday,Judges present awards for floral design and horticulture,Garden Pavilion,43.8119,-80.4228
Heritage Baking Demonstration,2026-09-20,11:00 AM,12:00 PM,Heritage,Sunday,Bakers prepare traditional breads with wood fired methods,Heritage Barn,43.8133,-80.4238
Family Picnic Concert,2026-09-20,12:00 PM,1:15 PM,Entertainment,Sunday,Folk band performs a relaxed midday set for families,Main Stage,43.8123,-80.4207
Junior Farmers Obstacle Course,2026-09-20,12:30 PM,1:30 PM,Kids,Sunday,Children complete farm themed challenges with helpers,Kids Discovery Tent,43.8118,-80.4216
Champion of Champions Livestock Parade,2026-09-20,1:30 PM,2:30 PM,Livestock,Sunday,Winning animals from the fair parade before the crowd,Grandstand Ring,43.8130,-80.4204
Farm Succession Roundtable,2026-09-20,2:00 PM,3:00 PM,Education,Sunday,Advisors discuss practical steps for family farm transition,Workshop Tent,43.8116,-80.4240
Fair Volunteer Appreciation,2026-09-20,3:15 PM,4:00 PM,Ceremony,Sunday,Organizers recognize volunteers sponsors and community partners,Main Stage,43.8123,-80.4207
Closing Harvest Parade,2026-09-20,4:15 PM,5:00 PM,Ceremony,Sunday,Floats livestock clubs and equipment close the fair weekend,South Gate Plaza,43.8121,-80.4215
